Order ID,Order Type,Source,Destination,Begin Time,End Time
A5007D,retrieval,M0086,M3111,2017/10/22 00:20,2017/10/22 01:44
A5101D,reshuffle,M0026,M0045,2017/10/28 23:35,2017/10/29 00:12
A5101D,retrieval,M0045,M3111,2017/10/29 00:17,2017/10/29 02:47
A5101D,storage,M7312,M0026,2017/10/28 05:46,2017/10/28 06:01
A5152D,retrieval,M0396,M3111,2017/10/22 00:21,2017/10/22 01:46
A5384D,retrieval,G0126,G7213,2017/10/29 00:19,2017/10/29 02:27
A5384D,storage,G7412,G0126,2017/10/28 08:02,2017/10/28 08:11
A5440D,retrieval,N0947,N7712,2017/10/31 15:15,2017/10/31 15:44
A5440D,storage,P1312,N0946,2017/10/31 04:56,2017/10/31 05:30
A5440D,transfer,P7312,P0065,2017/10/31 02:23,2017/10/31 02:41
A5499D,retrieval,N0076,P0055,2017/10/24 04:32,2017/10/24 05:15
A5499D,retrieval,P0976,R7212,2017/10/24 07:33,2017/10/24 08:00
A5499D,storage,P0075,P0976,2017/10/24 06:26,2017/10/24 06:46
A5499D,storage,P3212,N0076,2017/10/24 01:49,2017/10/24 03:26
A5559D,reshuffle,P0286,P0336,2017/10/31 06:55,2017/10/31 06:57
A5559D,retrieval,P0336,P7213,2017/10/31 07:34,2017/10/31 08:23
A5559D,storage,P0055,P0286,2017/10/31 05:09,2017/10/31 05:29
A5559D,transfer,P3422,Q1112,2017/10/31 03:36,2017/10/31 04:12
A5656D,retrieval,P0036,Q1111,2017/10/24 02:32,2017/10/24 04:24
A5656D,retrieval,Q0317,R7212,2017/10/24 07:34,2017/10/24 08:13