make,drive-wheels,length,width,height,price
alfa-romero,rwd,168.8,64.1,48.8,16500
alfa-romero,rwd,171.2,65.5,52.4,16500
audi,fwd,176.6,66.2,54.3,13950
audi,4wd,176.6,66.4,54.3,17450
audi,fwd,177.3,66.3,53.1,15250
audi,fwd,192.7,71.4,55.7,17710
audi,fwd,192.7,71.4,55.7,18920
audi,fwd,192.7,71.4,55.9,23875
bmw,rwd,176.8,64.8,54.3,16430
bmw,rwd,176.8,64.8,54.3,16925
bmw,rwd,176.8,64.8,54.3,20970
bmw,rwd,176.8,64.8,54.3,21105
bmw,rwd,189,66.9,55.7,24565
bmw,rwd,189,66.9,55.7,30760
bmw,rwd,193.8,67.9,53.7,41315
bmw,rwd,197,70.9,56.3,36880
chevrolet,fwd,141.1,60.3,53.2,5151
chevrolet,fwd,155.9,63.6,52,6295
chevrolet,fwd,158.8,63.6,52,6575
dodge,fwd,157.3,63.8,50.8,5572
dodge,fwd,157.3,63.8,50.8,6377
dodge,fwd,157.3,63.8,50.8,7957
dodge,fwd,157.3,63.8,50.6,6229
dodge,fwd,157.3,63.8,50.6,6692
dodge,fwd,157.3,63.8,50.6,7609
dodge,fwd,157.3,63.8,50.6,8558
dodge,fwd,174.6,64.6,59.8,8921
dodge,fwd,173.2,66.3,50.2,12964
honda,fwd,144.6,63.9,50.8,6479
honda,fwd,144.6,63.9,50.8,6855
honda,fwd,150,64,52.6,5399
honda,fwd,150,64,52.6,6529
honda,fwd,150,64,52.6,7129
honda,fwd,163.4,64,54.5,7295
honda,fwd,157.1,63.9,58.3,7295
honda,fwd,167.5,65.2,53.3,7895
honda,fwd,167.5,65.2,53.3,9095
honda,fwd,175.4,65.2,54.1,8845
honda,fwd,175.4,62.5,54.1,10295
honda,fwd,175.4,65.2,54.1,12945
honda,fwd,169.1,66,51,10345
isuzu,rwd,170.7,61.8,53.5,6785
isuzu,rwd,172.6,65.2,51.4,11048
jaguar,rwd,199.6,69.6,52.8,32250
jaguar,rwd,199.6,69.6,52.8,35550
jaguar,rwd,191.7,70.6,47.8,36000
mazda,fwd,159.1,64.2,54.1,5195
mazda,fwd,159.1,64.2,54.1,6095
mazda,fwd,159.1,64.2,54.1,6795
mazda,fwd,166.8,64.2,54.1,6695
mazda,fwd,166.8,64.2,54.1,7395
mazda,rwd,169,65.7,49.6,10945
mazda,rwd,169,65.7,49.6,11845
mazda,rwd,169,65.7,49.6,13645
mazda,rwd,169,65.7,49.6,15645
mazda,fwd,177.8,66.5,53.7,8845
mazda,fwd,177.8,66.5,55.5,8495
mazda,fwd,177.8,66.5,53.7,10595
mazda,fwd,177.8,66.5,55.5,10245
mazda,fwd,177.8,66.5,55.5,11245
mazda,rwd,175,66.1,54.4,18280
mercedes-benz,rwd,202.6,71.7,56.5,34184
mercedes-benz,rwd,180.3,70.5,50.8,35056
mercedes-benz,rwd,208.1,71.7,56.7,40960
mercedes-benz,rwd,199.2,72,55.4,45400
mercury,rwd,178.4,68,54.8,16503
mitsubishi,fwd,157.3,64.4,50.8,5389
mitsubishi,fwd,157.3,64.4,50.8,6189
mitsubishi,fwd,157.3,64.4,50.8,6669
mitsubishi,fwd,157.3,63.8,50.8,7689
mitsubishi,fwd,173,65.4,49.4,9959
mitsubishi,fwd,173,65.4,49.4,8499
mitsubishi,fwd,173.2,66.3,50.2,12629
mitsubishi,fwd,173.2,66.3,50.2,14869
mitsubishi,fwd,173.2,66.3,50.2,14489
mitsubishi,fwd,172.4,65.4,51.6,6989
mitsubishi,fwd,172.4,65.4,51.6,8189
mitsubishi,fwd,172.4,65.4,51.6,9279
mitsubishi,fwd,172.4,65.4,51.6,9279
nissan,fwd,165.3,63.8,54.5,5499
nissan,fwd,165.3,63.8,54.5,6649
nissan,fwd,165.3,63.8,54.5,6849
nissan,fwd,170.2,63.8,53.5,7349
nissan,fwd,165.3,63.8,54.5,7299
nissan,fwd,165.6,63.8,53.3,7799
nissan,fwd,165.3,63.8,54.5,7499
nissan,fwd,170.2,63.8,53.5,7999
nissan,fwd,162.4,63.8,53.3,8249
nissan,fwd,173.4,65.2,54.7,8949
nissan,fwd,173.4,65.2,54.7,9549
nissan,fwd,181.7,66.5,55.1,13499
nissan,fwd,184.6,66.5,56.1,14399
nissan,fwd,184.6,66.5,55.1,13499
nissan,rwd,170.7,67.9,49.7,17199
nissan,rwd,170.7,67.9,49.7,19699
nissan,rwd,178.5,67.9,49.7,18399
peugot,rwd,186.7,68.4,56.7,11900
peugot,rwd,198.9,68.4,58.7,12440
peugot,rwd,186.7,68.4,56.7,15580
peugot,rwd,198.9,68.4,56.7,16695
peugot,rwd,186.7,68.4,56.7,16630
peugot,rwd,186.7,68.3,56,18150
plymouth,fwd,157.3,63.8,50.8,5572
plymouth,fwd,157.3,63.8,50.8,7957
plymouth,fwd,157.3,63.8,50.6,6229
plymouth,fwd,167.3,63.8,50.8,6692
plymouth,fwd,167.3,63.8,50.8,7609
plymouth,fwd,174.6,64.6,59.8,8921
plymouth,rwd,173.2,66.3,50.2,12764
porsche,rwd,168.9,68.3,50.2,22018
porsche,rwd,168.9,65,51.6,32528
porsche,rwd,168.9,65,51.6,34028
porsche,rwd,168.9,65,51.6,37028
renault,fwd,181.5,66.5,55.2,9295
renault,fwd,176.8,66.6,50.5,9895
saab,fwd,186.6,66.5,56.1,11850
saab,fwd,186.6,66.5,56.1,12170
saab,fwd,186.6,66.5,56.1,15040
saab,fwd,186.6,66.5,56.1,15510
saab,fwd,186.6,66.5,56.1,18150
saab,fwd,186.6,66.5,56.1,18620
subaru,fwd,156.9,63.4,53.7,5118
subaru,fwd,157.9,63.6,53.7,7053
subaru,4wd,157.3,63.8,55.7,7603
subaru,fwd,172,65.4,52.5,7126
subaru,fwd,172,65.4,52.5,7775
subaru,fwd,172,65.4,52.5,9960
subaru,4wd,172,65.4,54.3,9233
subaru,4wd,172,65.4,54.3,11259
subaru,fwd,173.5,65.4,53,7463
subaru,fwd,173.5,65.4,53,10198
subaru,4wd,173.6,65.4,54.9,8013
subaru,4wd,173.6,65.4,54.9,11694
toyota,fwd,158.7,63.6,54.5,5348
toyota,fwd,158.7,63.6,54.5,6338
toyota,fwd,158.7,63.6,54.5,6488
toyota,fwd,169.7,63.6,59.1,6918
toyota,4wd,169.7,63.6,59.1,7898
toyota,4wd,169.7,63.6,59.1,8778
toyota,fwd,166.3,64.4,53,6938
toyota,fwd,166.3,64.4,52.8,7198
toyota,fwd,166.3,64.4,53,7738
toyota,fwd,166.3,64.4,52.8,8358
toyota,fwd,166.3,64.4,52.8,9258
toyota,rwd,168.7,64,52.6,8058
toyota,rwd,168.7,64,52.6,8238
toyota,rwd,168.7,64,52.6,9298
toyota,rwd,168.7,64,52.6,9538
toyota,rwd,176.2,65.6,52,8449
toyota,rwd,176.2,65.6,52,9639
toyota,rwd,176.2,65.6,52,9989
toyota,rwd,176.2,65.6,52,11199
toyota,rwd,176.2,65.6,52,11549
toyota,rwd,176.2,65.6,53,17669
toyota,fwd,175.6,66.5,54.9,8948
toyota,fwd,175.6,66.5,53.9,9988
toyota,fwd,175.6,66.5,54.9,10898
toyota,fwd,175.6,66.5,53.9,11248
toyota,rwd,183.5,67.7,52,16558
toyota,rwd,183.5,67.7,52,15998
toyota,rwd,187.8,66.5,54.1,15690
toyota,rwd,187.8,66.5,54.1,15750
volkswagen,fwd,171.7,65.5,55.7,7975
volkswagen,fwd,171.7,65.5,55.7,8195
volkswagen,fwd,171.7,65.5,55.7,8495
volkswagen,fwd,171.7,65.5,55.7,9995
volkswagen,fwd,159.3,64.2,55.6,11595
volkswagen,fwd,165.7,64,51.4,9980
volkswagen,fwd,180.2,66.9,55.1,13295
volkswagen,fwd,183.1,66.9,55.1,12290
volvo,rwd,188.8,67.2,56.2,12940
volvo,rwd,188.8,67.2,57.5,13415
volvo,rwd,188.8,67.2,56.2,15985
volvo,rwd,188.8,67.2,57.5,16515
volvo,rwd,188.8,67.2,56.2,18420
volvo,rwd,188.8,67.2,57.5,18950
volvo,rwd,188.8,68.9,55.5,16845
volvo,rwd,188.8,68.8,55.5,19045
volvo,rwd,188.8,68.9,55.5,21485
volvo,rwd,188.8,68.9,55.5,22625